edition	case	result	program_sha256	kernel_iso_sha256
JPN/ja_Hira	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Kana	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
JPN/ja_Kana	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
KOR	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
KOR	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
SRB/sr_Cyrl	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
SRB/sr_Cyrl	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
USA	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
USA	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
