english	localized	language
handler	handler	bs_Cyrl
handlers	handlers	bs_Cyrl
hardware	Hardver	bs_Cyrl
has	has	bs_Cyrl
hd	hd	bs_Cyrl
head	head	bs_Cyrl
header	header	bs_Cyrl
headertype	headertype	bs_Cyrl
heap	heap	bs_Cyrl
height	Visina	bs_Cyrl
helper	helper	bs_Cyrl
hex	hex	bs_Cyrl
hex출력	hex출력	bs_Cyrl
hi	hi	bs_Cyrl
hidden	hidden	bs_Cyrl
high	high	bs_Cyrl
hop	hop	bs_Cyrl
i	i	bs_Cyrl
icmp	icmp	bs_Cyrl
icmp콘솔	icmp콘솔	bs_Cyrl
id	id	bs_Cyrl
ident	ident	bs_Cyrl
identify	identify	bs_Cyrl
idt	idt	bs_Cyrl
idx	idx	bs_Cyrl
ifchr	ifchr	bs_Cyrl
ifdir	ifdir	bs_Cyrl
ifmt	ifmt	bs_Cyrl
ifreg	ifreg	bs_Cyrl
ifsock	ifsock	bs_Cyrl
in	Primljeno	bs_Cyrl
increment	increment	bs_Cyrl
index	Indeks	bs_Cyrl
inet	inet	bs_Cyrl
info	info	bs_Cyrl
init	init	bs_Cyrl
initial	initial	bs_Cyrl
initialization	initialization	bs_Cyrl
initialize	initialize	bs_Cyrl
ino	ino	bs_Cyrl
inode	inode	bs_Cyrl
input	Ulaz	bs_Cyrl
install	Instaliraj	bs_Cyrl
int	int	bs_Cyrl
interconnect	interconnect	bs_Cyrl
interface	interfejs	bs_Cyrl
internet	internet	bs_Cyrl
internetprotocol	internetprotocol	bs_Cyrl
interrupt	interrupt	bs_Cyrl
interrupts	interrupts	bs_Cyrl
invalid	Nevažeće	bs_Cyrl
io	io	bs_Cyrl
iomap	iomap	bs_Cyrl
ip	ip	bs_Cyrl
ipci	ipci	bs_Cyrl
ipmessage	ipmessage	bs_Cyrl
ipv	ipv	bs_Cyrl
ip콘솔	ip콘솔	bs_Cyrl
iret	iret	bs_Cyrl
is	is	bs_Cyrl
ist	ist	bs_Cyrl
j	j	bs_Cyrl
jmp	jmp	bs_Cyrl
jump	jump	bs_Cyrl
k	k	bs_Cyrl
kb	kb	bs_Cyrl
kcs	kcs	bs_Cyrl
kds	kds	bs_Cyrl
kernel	kernel	bs_Cyrl
key	Ključ	bs_Cyrl
keyboard	Tastatura	bs_Cyrl
kgs	kgs	bs_Cyrl
kind	Vrsta	bs_Cyrl
k핵심	k핵심	bs_Cyrl
l	l	bs_Cyrl
label	etiketa	bs_Cyrl
last	Zadnja	bs_Cyrl
