english	localized	source	evidence_count
scan	Analisar	gettext	2
scancode	scancode	fallback-English	0
sche	sche	fallback-English	0
schedule	schedule	fallback-English	0
scheduler	escalonador	curated-seed	0
screen	Ecrã	gettext	1
secondary	secondary	fallback-English	0
sect	sect	fallback-English	0
section	secção	curated-seed	0
sector	sector	fallback-English	0
sectors	sectors	fallback-English	0
seek	seek	fallback-English	0
seg	seg	fallback-English	0
segment	segment	fallback-English	0
segments	Segmentos	gettext	1
select	Selecionar	gettext	6
selector	selector	fallback-English	0
self	próprio	gettext	5
send	Enviar	gettext	1
sequencer	sequencer	fallback-English	0
serial	série	curated-seed	5
set	conjunto	gettext	5
setup	setup	fallback-English	0
sh	sh	fallback-English	0
shared	shared	fallback-English	0
shentsize	shentsize	fallback-English	0
shift	shift	fallback-English	0
shndx	shndx	fallback-English	0
shnum	shnum	fallback-English	0
shoff	shoff	fallback-English	0
shstrndx	shstrndx	fallback-English	0
signature	signature	fallback-English	0
simd	simd	fallback-English	0
size	Tamanho	gettext	42
sl	sl	fallback-English	0
slave	slave	fallback-English	0
sock	sock	fallback-English	0
socket	conectorRede	curated-seed	0
socketcall	socketcall	fallback-English	0
sockets	sockets	fallback-English	0
soft	soft	fallback-English	0
software	Aplicação	gettext	5
source	Origem	gettext	10
space	Espaço	gettext	6
spawn	spawn	fallback-English	0
src	src	fallback-English	0
srcptr	srcptr	fallback-English	0
ss	ss	fallback-English	0
st	st	fallback-English	0
stack	stack	fallback-English	0
stackbottom	stackbottom	fallback-English	0
stacktop	stacktop	fallback-English	0
start	Iniciar	gettext	16
started	Iniciado	gettext	5
starting	starting	fallback-English	0
stat	stat	fallback-English	0
state	Estado	gettext	4
status	Estado	gettext	18
stderr	stderr	fallback-English	0
stdin	stdin	fallback-English	0
stdout	stdout	fallback-English	0
stop	Parar	gettext	30
stopped	Parado	gettext	5
str	str	fallback-English	0
string	linha	gettext	5
strtab	strtab	fallback-English	0
subclass	subclass	fallback-English	0
subnet	subnet	fallback-English	0
support	Suporte	gettext	1
swap	swap	fallback-English	0
switch	switch	fallback-English	0
sym	sym	fallback-English	0
sync	sync	fallback-English	0
sys	sys	fallback-English	0
syscall	syscall	fallback-English	0
sysname	sysname	fallback-English	0
system	sistema	curated-seed	27
systemcall	systemcall	fallback-English	0
t	t	fallback-English	0
table	Tabela	gettext	5
tag	Marca	gettext	5
tail	tail	fallback-English	0
tamd	tamd	fallback-English	0
tarp	tarp	fallback-English	0
task	tarefa	curated-seed	1
tasking	gestãoTarefas	curated-seed	0
tasks	Tarefas	gettext	2
tcow	tcow	fallback-English	0
tcpu	tcpu	fallback-English	0
technology	Tecnologia	gettext	2
temp	temp	fallback-English	0
temporary	temporary	fallback-English	0
tenth	tenth	fallback-English	0
terminated	terminated	fallback-English	0
test	Testar	gettext	2
text	texto	curated-seed	28
thr	thr	fallback-English	0
thread	fluxoExecução	curated-seed	0
threads	threads	fallback-English	0
tick	tick	fallback-English	0
ticmp	ticmp	fallback-English	0
time	Hora	gettext	2
timer	temporizador	curated-seed	1
tip	tip	fallback-English	0
tls	tls	fallback-English	0
tmp	tmp	fallback-English	0
tmsdos	tmsdos	fallback-English	0
to	para	gettext	1
top	Superior	gettext	10
tos	tos	fallback-English	0
total	total	fallback-English	0
track	track	fallback-English	0
trap	trap	fallback-English	0
truncate	Truncar	gettext	1
tss	tss	fallback-English	0
type	tipo	curated-seed	49
t공용서술자테이블	t공용서술자테이블	fallback-English	0
t작업관리자	t작업관리자	fallback-English	0
t조각설명자	t조각설명자	fallback-English	0
t콘솔	t콘솔	fallback-English	0
t함수	t함수	fallback-English	0
udesc	udesc	fallback-English	0
udp	udp	fallback-English	0
udp콘솔	udp콘솔	fallback-English	0
uid	uid	fallback-English	0
