go run tools/verify_country_sources.go
country source structure OK: 249/249
python3 tools/refine_country_names.py --check
UMI/en: names=35, tokens=358, paths=50, pending concepts=0
URY/es: names=35, tokens=358, paths=50, pending concepts=0
USA/en: names=35, tokens=358, paths=50, pending concepts=0
UZB/uz_Latn: names=5, tokens=24, paths=40, pending concepts=50
VAT/it: names=35, tokens=358, paths=50, pending concepts=0
VCT/en: names=35, tokens=358, paths=50, pending concepts=0
VEN/es: names=35, tokens=358, paths=50, pending concepts=0
VGB/en: names=35, tokens=358, paths=50, pending concepts=0
VIR/en: names=35, tokens=358, paths=50, pending concepts=0
VNM/vi: names=35, tokens=358, paths=50, pending concepts=0
VUT/bi: names=5, tokens=24, paths=40, pending concepts=50
WLF/fr: names=35, tokens=358, paths=50, pending concepts=0
WSM/sm: names=5, tokens=24, paths=40, pending concepts=50
YEM/ar: names=35, tokens=358, paths=50, pending concepts=0
ZAF/en: names=35, tokens=358, paths=50, pending concepts=0
ZMB/en: names=35, tokens=358, paths=50, pending concepts=0
ZWE/sn: names=5, tokens=24, paths=40, pending concepts=50
countries=249, languages=86, mode=check
python3 tools/verify_script_variants.py
IND bn_Beng PASS NOT_RUN NOT_RUN
IND as_Beng PASS NOT_RUN NOT_RUN
IND doi_Deva PASS NOT_RUN NOT_RUN
IND brx_Deva PASS NOT_RUN NOT_RUN
IND gu_Gujr PASS NOT_RUN NOT_RUN
IND hi_Deva PASS NOT_RUN NOT_RUN
IND kn_Knda PASS NOT_RUN NOT_RUN
IND ks_Arab PASS NOT_RUN NOT_RUN
IND kok_Deva PASS NOT_RUN NOT_RUN
IND mai_Deva PASS NOT_RUN NOT_RUN
IND ml_Mlym PASS NOT_RUN NOT_RUN
IND mni_Mtei PASS NOT_RUN NOT_RUN
IND mr_Deva PASS NOT_RUN NOT_RUN
IND ne_Deva PASS NOT_RUN NOT_RUN
IND pa_Guru PASS NOT_RUN NOT_RUN
IND or_Orya PASS NOT_RUN NOT_RUN
IND sa_Deva PASS NOT_RUN NOT_RUN
IND sat_Olck PASS NOT_RUN NOT_RUN
IND sd_Arab PASS NOT_RUN NOT_RUN
IND ta_Taml PASS NOT_RUN NOT_RUN
IND te_Telu PASS NOT_RUN NOT_RUN
IND ur_Arab PASS NOT_RUN NOT_RUN
IND kok_Latn PASS NOT_RUN NOT_RUN
IND ks_Deva PASS NOT_RUN NOT_RUN
IND mni_Beng PASS NOT_RUN NOT_RUN
IND pa_Arab PASS NOT_RUN NOT_RUN
IND sat_Beng PASS NOT_RUN NOT_RUN
IND sat_Deva PASS NOT_RUN NOT_RUN
JPN ja_Jpan PASS NOT_RUN NOT_RUN
IND sd_Deva PASS NOT_RUN NOT_RUN
JPN ja_Hira PASS NOT_RUN NOT_RUN
JPN ja_Kana PASS NOT_RUN NOT_RUN
CHN zh_Hans PASS NOT_RUN NOT_RUN
CHN zh_Hant PASS NOT_RUN NOT_RUN
HKG zh_Hans PASS NOT_RUN NOT_RUN
HKG zh_Hant PASS NOT_RUN NOT_RUN
MAC zh_Hans PASS NOT_RUN NOT_RUN
MAC zh_Hant PASS NOT_RUN NOT_RUN
